timestamp,product,stall_id,competitor_price_rwf
2026-04-20 08:30:00,banana,stall_01,566
2026-04-20 08:30:00,banana,stall_02,522
2026-04-20 08:30:00,banana,stall_03,515
2026-04-20 08:30:00,banana,stall_04,619
2026-04-20 08:30:00,banana,stall_05,545
2026-04-20 08:30:00,banana,stall_06,572
2026-04-20 08:30:00,banana,stall_07,620
2026-04-20 08:30:00,banana,stall_08,579
2026-04-20 08:30:00,banana,stall_09,637
2026-04-20 08:30:00,banana,stall_10,570
2026-04-20 08:30:00,banana,stall_11,595
2026-04-20 08:30:00,banana,stall_12,605
2026-04-20 08:30:00,milk,stall_01,818
2026-04-20 08:30:00,milk,stall_02,782
2026-04-20 08:30:00,milk,stall_03,808
2026-04-20 08:30:00,milk,stall_04,829
2026-04-20 08:30:00,milk,stall_05,830
2026-04-20 08:30:00,milk,stall_06,859
2026-04-20 08:30:00,milk,stall_07,797
2026-04-20 08:30:00,milk,stall_08,866
2026-04-20 08:30:00,milk,stall_09,836
2026-04-20 08:30:00,milk,stall_10,742
2026-04-20 08:30:00,milk,stall_11,844
2026-04-20 08:30:00,milk,stall_12,869
2026-04-20 08:30:00,tilapia,stall_01,1130
2026-04-20 08:30:00,tilapia,stall_02,1174
2026-04-20 08:30:00,tilapia,stall_03,1214
2026-04-20 08:30:00,tilapia,stall_04,1266
2026-04-20 08:30:00,tilapia,stall_05,1290
2026-04-20 08:30:00,tilapia,stall_06,1254
2026-04-20 08:30:00,tilapia,stall_07,1311
2026-04-20 08:30:00,tilapia,stall_08,1185
2026-04-20 08:30:00,tilapia,stall_09,1208
2026-04-20 08:30:00,tilapia,stall_10,1301
2026-04-20 08:30:00,tilapia,stall_11,1271
2026-04-20 08:30:00,tilapia,stall_12,1316
2026-04-20 08:30:00,tomato,stall_01,684
2026-04-20 08:30:00,tomato,stall_02,658
2026-04-20 08:30:00,tomato,stall_03,668
2026-04-20 08:30:00,tomato,stall_04,693
2026-04-20 08:30:00,tomato,stall_05,680
2026-04-20 08:30:00,tomato,stall_06,754
2026-04-20 08:30:00,tomato,stall_07,647
2026-04-20 08:30:00,tomato,stall_08,671
2026-04-20 08:30:00,tomato,stall_09,663
2026-04-20 08:30:00,tomato,stall_10,645
2026-04-20 08:30:00,tomato,stall_11,661
2026-04-20 08:30:00,tomato,stall_12,610
2026-04-20 09:00:00,banana,stall_01,573
2026-04-20 09:00:00,banana,stall_02,511
2026-04-20 09:00:00,banana,stall_03,509
2026-04-20 09:00:00,banana,stall_04,611
2026-04-20 09:00:00,banana,stall_05,552
2026-04-20 09:00:00,banana,stall_06,567
2026-04-20 09:00:00,banana,stall_07,606
2026-04-20 09:00:00,banana,stall_08,571
2026-04-20 09:00:00,banana,stall_09,621
2026-04-20 09:00:00,banana,stall_10,575
2026-04-20 09:00:00,banana,stall_11,604
2026-04-20 09:00:00,banana,stall_12,617
2026-04-20 09:00:00,milk,stall_01,795
2026-04-20 09:00:00,milk,stall_02,773
2026-04-20 09:00:00,milk,stall_03,802
2026-04-20 09:00:00,milk,stall_04,834
2026-04-20 09:00:00,milk,stall_05,843
2026-04-20 09:00:00,milk,stall_06,837
2026-04-20 09:00:00,milk,stall_07,790
2026-04-20 09:00:00,milk,stall_08,879
2026-04-20 09:00:00,milk,stall_09,858
2026-04-20 09:00:00,milk,stall_10,748
2026-04-20 09:00:00,milk,stall_11,858
2026-04-20 09:00:00,milk,stall_12,862
2026-04-20 09:00:00,tilapia,stall_01,1134
2026-04-20 09:00:00,tilapia,stall_02,1224
2026-04-20 09:00:00,tilapia,stall_03,1243
2026-04-20 09:00:00,tilapia,stall_04,1255
2026-04-20 09:00:00,tilapia,stall_05,1262
2026-04-20 09:00:00,tilapia,stall_06,1261
2026-04-20 09:00:00,tilapia,stall_07,1318
2026-04-20 09:00:00,tilapia,stall_08,1157
2026-04-20 09:00:00,tilapia,stall_09,1227
2026-04-20 09:00:00,tilapia,stall_10,1247
2026-04-20 09:00:00,tilapia,stall_11,1284
2026-04-20 09:00:00,tilapia,stall_12,1292
2026-04-20 09:00:00,tomato,stall_01,678
2026-04-20 09:00:00,tomato,stall_02,660
2026-04-20 09:00:00,tomato,stall_03,670
2026-04-20 09:00:00,tomato,stall_04,694
2026-04-20 09:00:00,tomato,stall_05,694
2026-04-20 09:00:00,tomato,stall_06,767
2026-04-20 09:00:00,tomato,stall_07,659
2026-04-20 09:00:00,tomato,stall_08,671
2026-04-20 09:00:00,tomato,stall_09,660
2026-04-20 09:00:00,tomato,stall_10,633
2026-04-20 09:00:00,tomato,stall_11,658
2026-04-20 09:00:00,tomato,stall_12,621
2026-04-20 09:30:00,banana,stall_01,576
2026-04-20 09:30:00,banana,stall_02,529
2026-04-20 09:30:00,banana,stall_03,515
2026-04-20 09:30:00,banana,stall_04,609
2026-04-20 09:30:00,banana,stall_05,566
2026-04-20 09:30:00,banana,stall_06,571
2026-04-20 09:30:00,banana,stall_07,627
